Feed Manufacturers,street,city,state,postal_code,latitude,longitude,,,,,,,,,,,,,,,
UFI Feeding LLC,14605 Co Rd 21,Platteville,Colorado,80651,40.2178301,-104.8685846,,,,,,,,,,,,,,,
Livestock Nutrition Center Feed Mill,4050 US-60,Hereford,Texas,79045,34.8404027,-102.3438038,,,,,,,,,,,,,,,
"Royal Canin U.S.A., Inc.",6569 OH-503,Lewisburg,Ohio,45338,39.8329942,-84.5462568,,,,,,,,,,,,,,,
Cargill,6531 OH-503 N,Lewisburg,Ohio,45338,39.833417,-84.5404231,,,,,,,,,,,,,,,
Cargill,6531 OH-503 N,Lewisburg,Ohio,45338,39.833417,-84.5404231,,,,,,,,,,,,,,,
Advanced Animal Nutrition,1400 Nettleton Ave,Thayer,Missouri,65791,36.5117327,-91.5428039,,,,,,,,,,,,,,,
JDH,5765 Co Rd R,Stratford,Texas,79084,36.2564443,-102.0519803,,,,,,,,,,,,,,,
Opal Foods Feed Mill,900 Malcolm Mosby Dr,Neosho,Missouri,64850,36.833453,-94.3849388,,,,,,,,,,,,,,,
Alliance Feed LLC,2560 S 600 E,Columbia City,Indiana,46725,41.124684,-85.3765842,,,,,,,,,,,,,,,
Platinum Feeds & Supply,6140 W Co Rd 240 NW,Greensburg,Indiana,47240,39.3682864,-85.5946704,,,,,,,,,,,,,,,
"Sacate Pellet Mills, Inc.",38743 Cowtown Rd,Maricopa,Arizona,85138,33.0148849,-111.9843063,,,,,,,,,,,,,,,
Walpole Feed Mill,504 NW 9th St,Okeechobee,Florida,34972,27.2519855,-80.8342165,,,,,,,,,,,,,,,
Bartlett,320 Riverfront Rd,Atchison,Kansas,66002,39.535285,-95.1104265,,,,,,,,,,,,,,,
Blair Milling and Elevator Co.,1000 Main St,Atchison,Kansas,66002,39.5606149,-95.1275309,,,,,,,,,,,,,,,
Bowman Milling Co,330 Jackson Rd,Pocahontas,Missouri,63779,37.5001044,-89.6400484,,,,,,,,,,,,,,,
TransAgra International inc.,101 Gilbert St,Storm Lake,Iowa,50588,42.6344179,-95.1574091,,,,,,,,,,,,,,,
Furst-Mc Ness,2000 Expansion Blvd,Storm Lake,Iowa,50588,42.636444,-95.1697049,,,,,,,,,,,,,,,
South Central FS Feed Mill,13916 IL-37,Watson,Illinois,62473,39.0263748,-88.5454406,,,,,,,,,,,,,,,
Cargill,19 Starbuck St,Gouverneur,New York,13642,44.3283014,-75.4749874,,,,,,,,,,,,,,,
G A Wintzer & Son Co,204 W Auglaize St,Wapakoneta,Ohio,45895,40.5708617,-84.1965446,,,,,,,,,,,,,,,
"H.R. Wentzel Sons, Inc.",5521 Waggoners Gap Rd,Landisburg,Pennsylvania,17040,40.3269825,-77.2853228,,,,,,,,,,,,,,,
"CTS Liquid Feed, LLC",1 Cappel Dr,McCook,Nebraska,69001,40.2132164,-100.6565309,,,,,,,,,,,,,,,
Farmers Coop Society - Feed Office,258-298 3rd St NW,Sioux Center,Iowa,51250,43.0799123,-96.1788678,,,,,,,,,,,,,,,
Lankenau Construction Inc,302 S 10th St,Onida,South Dakota,57564,44.7051379,-100.0608269,,,,,,,,,,,,,,,
PreZero US Services - BSF Technology Center,1085 E California St,Ontario,California,91761,34.0560865,-117.6333312,,,,,,,,,,,,,,,
Hamlet Protein Inc.,5289 Hamlet Dr,Findlay,Ohio,45840,41.0754205,-83.6044548,,,,,,,,,,,,,,,
"Integrated Proteins, LLC",300 S 55th St Suite B,Kansas City,Kansas,66106,39.0941862,-94.7058495,,,,,,,,,,,,,,,
"Central Plains Milling (Columbus, NE)",2175 14th Ave,Columbus,Nebraska,68601,41.4365648,-97.3434377,,,,,,,,,,,,,,,
"AGresearch, Inc.",1 Genstar Ln # A,Joliet,Illinois,60435,41.5540315,-88.0834084,,,,,,,,,,,,,,,
Vita Plus Corporation,213 E Mill St,Loyal,Wisconsin,54446,44.7368207,-90.4944504,,,,,,,,,,,,,,,
Furst McNess,209 Bridge St,Eleroy,Illinois,61027,42.3325897,-89.7602152,,,,,,,,,,,,,,,
Nash Johnson,3362 US-117,Rose Hill,North Carolina,28458,34.8552343,-78.0369289,,,,,,,,,,,,,,,
AMVC Hamlin Feedmill,2289 Lark Ave,Hamlin,Iowa,50117,41.6752437,-94.8796992,,,,,,,,,,,,,,,
McConnaughey Feed & Livestock,154 Hutchinson Rd,Riverton,Wyoming,82501,43.1134824,-108.3523123,,,,,,,,,,,,,,,
"MaxRax Wildlife Nutrition, Inc",,,,,46.423669,-129.9427086,,,,,,,,,,,,,,,
K & L Feeds Inc,2243 US-522,Selinsgrove,Pennsylvania,17870,40.8047703,-76.9080925,,,,,,,,,,,,,,,
Ultra Balance Premium Koi Food,24067 Water St,Perris,California,92572,33.819088,-117.243337,,,,,,,,,,,,,,,
MarJac Feed Mill,505 Twin Mill Dr,Maysville,Georgia,30558,34.2450659,-83.5446118,,,,,,,,,,,,,,,
Jennie O Turkey Store Feedmill,,,,,46.423669,-129.9427086,,,,,,,,,,,,,,,
ADM Columbus,4260 Groves Rd,Columbus,Ohio,43232,39.933216,-82.88385,,,,,,,,,,,,,,,
Dakota Spirit Ag energy,,Jamestown,North Dakota,58401,46.925991,-98.5066833,,,,,,,,,,,,,,,
Georgia Land Masters,South St,Marshallville,Georgia,31057,32.3790826,-83.9142699,,,,,,,,,,,,,,,
Land O'Lakes Purina Feed,825 TX-36,Rosenberg,Texas,77471,29.5618618,-95.8287926,,,,,,,,,,,,,,,
American Pharmaceutical Innovations Co.,,,,,39.7393894,-89.266507,,,,,,,,,,,,,,,
American River AG,807 Cromwell Ave,Stockton,California,95203,37.9571523,-121.3647055,,,,,,,,,,,,,,,
"Wallace Grain Company, Inc.",604 S Main St,Sheridan,Indiana,46069,40.132927,-86.2209473,,,,,,,,,,,,,,,
Gold Star,299 Waverly St,Springville,New York,14141,42.5036544,-78.685707,,,,,,,,,,,,,,,
Kent Nutrition Group,1500 RMT Ave,Sheldon,Iowa,51201,43.173507,-95.86579,,,,,,,,,,,,,,,
General Feed & Grain Inc,7128 3rd St,Bonners Ferry,Idaho,83805,48.6951723,-116.3154291,,,,,,,,,,,,,,,
"Mustang Creek Feed, Seed & Supply",104 S Hughes St,Rio Vista,Texas,76093,32.2324987,-97.3769815,,,,,,,,,,,,,,,
United Farmers Cooperative - Livestock Service Center,40137 577th Ln,New Ulm,Minnesota,56073,44.366394,-94.4254837,,,,,,,,,,,,,,,
